ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00139258;Meiko;Wäschenbach;Wäschenbach;Meiko Wäschenbach;1. FC Köln;MIDFIELDER;500000;0;0.0
pl-k00139273;Mert;Kömür;Kömür;Mert Kömür;FC Augsburg;MIDFIELDER;500000;16;3.0
pl-k00139323;Timo;Schlieck;Schlieck;Timo Schlieck;RB Leipzig;GOALKEEPER;500000;0;0.0
pl-k00140561;Elias;Bakatukanda;Bakatukanda;Elias Bakatukanda;1. FC Köln;DEFENDER;500000;0;0.0
pl-k00140563;Max;Finkgräfe;Finkgräfe;Max Finkgräfe;1. FC Köln;DEFENDER;500000;93;3.52
pl-k00140583;Damion;Downs;Downs;Damion Downs;1. FC Köln;FORWARD;500000;24;3.75
pl-k00140720;Mohammed;Tolba;M. Tolba;Mohammed Tolba;VfL Bochum;DEFENDER;500000;0;0.0
pl-k00141456;Max;Moerstedt;Moerstedt;Max Moerstedt;TSG Hoffenheim;FORWARD;500000;2;0.0
pl-k00141756;Elias;Baum;Baum;Elias Baum;Eintracht Frankfurt;DEFENDER;700000;8;0.0
pl-k00143278;Bryan;Zaragoza;Zaragoza;Bryan Zaragoza;Bayern München;MIDFIELDER;3500000;10;4.0
pl-k00144475;Fabio;Torsiello;Torsiello;Fabio Torsiello;SV Darmstadt 98;FORWARD;600000;16;5.0
pl-k00144843;Arthur Augusto;de Matos Soares;Arthur;Arthur;Bayer 04 Leverkusen;DEFENDER;1600000;18;3.0
pl-k00145004;Julian;Malatini;Malatini;Julian Malatini;Werder Bremen;DEFENDER;1400000;21;4.06
pl-k00145626;Leon;Opitz;Opitz;Leon Opitz;Werder Bremen;FORWARD;500000;6;0.0
pl-k00146959;Julien;Duranville;Duranville;Julien Duranville;Borussia Dortmund;FORWARD;1000000;4;0.0
pl-k00147672;David;Jurasek;D. Jurasek;David Jurasek;TSG Hoffenheim;DEFENDER;2000000;15;4.13
